ID,Name,Screen Size (inches),Memory,SSD,GPU,Brand,Operating System,CPU,Color,Resolution,Series,FullName,,,,,
344,HP 15t Laptop,15.6,16,1024,Intel Iris Xe Graphics,HP,Windows10Pro,Intel Core i5 11th Gen,Silver,1920x1080,,"HP 15t Laptop, 15.6"" IPS FHD Display, Intel Core i5-1135G7 Upto 4.2GHz, 16GB RAM, 1TB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro",,,,,
345,"New ASUS VivoBook 16"" LCD WUXGA Laptop | AMD Ryzen R7-5800H( Beat i7-1195G7) Processor | 24GB DDR4 RAM | 1024GB SSD | AMD Radeon Graphics | Windows 11 Home | with Wireless Mouse Bundle",16,24,1024,AMD Radeon Graphics,ASUS,Windows11Home,AMD Ryzen 7 5000 Series,Blue,,,"New ASUS VivoBook 16"" LCD WUXGA Laptop | AMD Ryzen R7-5800H( Beat i7-1195G7) Processor | 24GB DDR4 RAM | 1024GB SSD | AMD Radeon Graphics | Windows 11 Home | with Wireless Mouse Bundle",,,,,
346,New Lenovo IdeaPad 3i 15.6“ FHD Touchscreen Laptop | Intel Core i3-1115G4 | 12GB RAM | 256GB SSD | Intel UHD Graphics | Sand | Windows 11 in S Mode | with Mouse Pad Bundle,15.6,12,256,Intel UHD Graphics,,Windows11inSmode,Intel Core i3 11th Gen,Sand,,,New Lenovo IdeaPad 3i 15.6“ FHD Touchscreen Laptop | Intel Core i3-1115G4 | 12GB RAM | 256GB SSD | Intel UHD Graphics | Sand | Windows 11 in S Mode | with Mouse Pad Bundle,,,,,
347,ASUS VivoBook S 16X Slim Laptop,16,8,512,Intel Iris Xe Graphics,ASUS,Windows11Home,Intel Core i5 12th Gen,Midnight Black (Aluminum),1920x1200,VivoBook S 16X,"ASUS VivoBook S 16X Slim Laptop, 16"" WUXGA (1920 x 1200) 16:10 Display, Intel Core i5-12500H CPU, 8GB RAM, 512GB NVMe SSD, Windows 11 Home, Midnight Black, S5602ZA-DB51",,,,,
348,Lenovo ThinkPad T14s Gen 3 Intel Laptop,14,16,,,ThinkPad,Windows10Pro,Intel Core i7 12th Gen,Black,1920x1200,,"Lenovo ThinkPad T14s Gen 3 Intel Laptop, 14.0"" IPS Touch  60Hz  Narrow Bezel, i7-1260P,   Iris Xe Graphics, 16GB, 512GB, Win 10 Pro Preinstalled Through Downgrade Rights In Win 11 Pro",,,,,
349,"Lenovo Legion 5 Pro 16"" Gaming Laptop",16,,,,,,,,,,"Lenovo Legion 5 Pro 16"" Gaming Laptop, QHD 165Hz, AMD Ryzen 7, NVIDIA GeForce RTX 3070, 16GB RAM, 512GB SSD, Windows 11 Home, Storm Grey, 82JQ00F9US",,,,,
350,Dell Inspiron 3511 Laptop,15.6,16,512,Intel Iris Xe Graphics,DELL,Windows11Pro,Intel Core i5 11th Gen,Black,1920x1080,Inspiron,"Dell Inspiron 3511 Laptop, 15.6"" FHD Display, Intel Core i5-1135G7 Upto 4.2GHz, 16GB RAM, 512GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 11 Pro",,,,,
351,"CHUWI GemiBook XPro 14.1"" Laptop 256GB SSD 8GB DDR5 3.4GHz Intel N100 Quad Core Windows11 Gaming Notebook Computer WIFI 6 1920*1080 IPS Display",14.1,8,256,Intel UHD Graphics 12th,CHUWI,Windows11Home,Intel N100,Grey,1920x1080,GemiBook Xpro,"CHUWI GemiBook XPro 14.1"" Laptop 256GB SSD 8GB DDR5 3.4GHz Intel N100 Quad Core Windows11 Gaming Notebook Computer WIFI 6 1920*1080 IPS Display",,,,,
352,Dell Latitude 5414 Rugged Laptop with Intel Core i5-6300u CPU - 16GB RAM - 256GB SSD - Windows 10 Pro,14,16,256,Intel HD Graphics 520,Dell,Windows10Pro,Intel Core i5 6th Gen,Black,,Latitude,Dell Latitude 5414 Rugged Laptop with Intel Core i5-6300u CPU - 16GB RAM - 256GB SSD - Windows 10 Pro,,,,,
353,ASUS VivoBook 15 Laptop,15.6,4,128,Intel UHD Graphics,ASUS,Windows10Home🙋‍♀️MicrosoftWindows11ProUpgrade‍👉CheckABS/HelixcomputerswithWindows11,Intel Core i3 10th Gen,Grey,1920x1080,VivoBook,"ASUS VivoBook 15 Laptop, 15.6"" FHD Touch Display, Intel Core i3-1005G1 Upto 3.4GHz, 4GB RAM, 128GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home S (R564JA-UH31T)",,,,,
354,HP EliteBook 840 G3 14'' HD Grade A Business Laptop,14,16,1024,Intel GMA HD Graphics,,Windows10Pro,Intel Core i5 6th Gen,Black,,,"HP EliteBook 840 G3 14'' HD Grade A Business Laptop,16GB DDR4 RAM, 1TB SSD, Intel Core i5-6300U Professor 2.4GHz, Webcam, Wi-Fi, Bluetooth, Windows 10 Pro 64 bit",,,,,
355,HP ProBook 440 G9 Laptop,14,32,1024,Intel Iris Xe Graphics,HP,Windows11Pro,Intel Core i7 12th Gen,Silver,1920x1080,ProBook,"HP ProBook 440 G9 Laptop, 14"" FHD Display, Intel Core i7-1255U Upto 4.7GHz, 32GB RAM, 1TB SSD, Backlit keys, Windows 11 Pro",,,,,
356,ASUS ROG Flow Z13 (2023) Gaming Laptop Tablet,13.4,16,1024,NVIDIA GeForce RTX 4050,ASUS,Windows11Home,Intel Core i9 13th Gen,Black,2560x1600,ROG Flow Z13 (2023),"ASUS ROG Flow Z13 (2023) Gaming Laptop Tablet, 13.4"" Nebula Display 16:10 QHD+ 165Hz, GeForce RTX 4050, Intel Core i9-13900H, 16GB LPDDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, GZ301VU-DS94",,,,,
357,Dell Latitude E6540 15.6inch Laptop,15.6,,,,,,,,,,"Dell Latitude E6540 15.6inch Laptop, Intel Core i7 4600M 2.9Ghz, 8GB DDR3, 256GB SSD Hard Drive, Webcam, HDMI, DVDRW, Windows 10 (Renewed) (E6540)",,,,,
358,"ASUS Laptop ZenBook Pro AMD Ryzen 7 6000 Series 6800H (3.20GHz) 16GB Memory 512 GB PCIe SSD NVIDIA GeForce RTX 3050 Laptop GPU 17.3"" Touchscreen Windows 11 Home 64-bit UM6702RC-DS74T",17.3,16,512,NVIDIA GeForce RTX 3050,ASUS,Windows11Home,AMD Ryzen 7 6000 Series,Tech Black (Aluminum),2560x1440,ZenBook Pro,"ASUS Laptop ZenBook Pro AMD Ryzen 7 6000 Series 6800H (3.20GHz) 16GB Memory 512 GB PCIe SSD NVIDIA GeForce RTX 3050 Laptop GPU 17.3"" Touchscreen Windows 11 Home 64-bit UM6702RC-DS74T",,,,,
359,"MSI Ultra Thin and Light Laptop AMD Ryzen 5 7000 Series 7530U (2.00GHz) 16GB Memory 1 TB NVMe SSD AMD Radeon Graphics 15.6"" Windows 11 Home 64-bit Modern 15 B7M-224US",15.6,16,1024,AMD Radeon Graphics,MSI,Windows11Home,AMD Ryzen 5 7000 Series,Classic Black,1920x1080,,"MSI Ultra Thin and Light Laptop AMD Ryzen 5 7000 Series 7530U (2.00GHz) 16GB Memory 1 TB NVMe SSD AMD Radeon Graphics 15.6"" Windows 11 Home 64-bit Modern 15 B7M-224US",,,,,
360,"[Windows 11 Pro] HP 15 15.6"" FHD Business Laptop Computer",15,16,512,Intel Iris Plus Graphics,,Windows11Pro,Intel Core i5 11th Gen,Silver,1920x1080,,"[Windows 11 Pro] HP 15 15.6"" FHD Business Laptop Computer, 11th Gen Intel 4-core i5-1135G7 (Beat i7-1160G7), 16GB RAM 512GB PCIe SSD, Intel Iris Xe Graphics, Numeric Keypad, BT 5.2, HDMI, w/Battery",,,,,
361,"LG Gram Laptop Intel Core i7 11th Gen 1165G7 (2.80GHz) 16GB Memory 1 TB M.2 SSD Intel Iris Xe Graphics 15.6"" Windows 10 Pro 64-bit 15Z90P-N.APS7U1",15.6,16,1024,Intel Iris Xe Graphics,LG,Windows10Pro,Intel Core i7 11th Gen,Quartz Silver,1920x1080,Gram,"LG Gram Laptop Intel Core i7 11th Gen 1165G7 (2.80GHz) 16GB Memory 1 TB M.2 SSD Intel Iris Xe Graphics 15.6"" Windows 10 Pro 64-bit 15Z90P-N.APS7U1",,,,,
362,Lenovo ThinkPad T480s Touchscreen Laptop,14,24,512,,,Windows10Pro,,Black,,,"Lenovo ThinkPad T480s Touchscreen Laptop, 14"" IPS FHD (1920x1080) Matte Display, Intel Core i7-8650U 4.20 GHz, 24GB DDR4 RAM, 512GB SSD, Backlit Keyboard, Windows 10 Pro",,,,,
363,"Lenovo ThinkPad X1 Extreme Gen 3 15.6"" FHD (Intel 6-Core i7-10750H",15.6,64,2048,NVIDIA GeForce GTX 1650 Ti,Lenovo,Windows10Pro,Intel Core i7 10th Gen,Black,1920x1080,ThinkPad,"Lenovo ThinkPad X1 Extreme Gen 3 15.6"" FHD (Intel 6-Core i7-10750H, 64GB RAM, 2TB PCIe SSD, GTX 1650 Ti) Mobile Workstation Laptop, 2 x Thunderbolt 3, Backlit, Fingerprint, Windows 10 Pro",,,,,
364,"Lenovo ThinkPad T580 - Intel Core i5 8350U 1.7GHz Quad Core - 256GB SSD - 16GB RAM - WiFi - Bluetooth - 15.6"" FHD (1920x1080) Display - Windows 10 Pro - AC Adapter Included",15.6,16,256,Intel UHD Graphics 620,Lenovo,Windows10Pro,Intel Core i5 8th Gen,Black Textured,1920x1080,ThinkPad,"Lenovo ThinkPad T580 - Intel Core i5 8350U 1.7GHz Quad Core - 256GB SSD - 16GB RAM - WiFi - Bluetooth - 15.6"" FHD (1920x1080) Display - Windows 10 Pro - AC Adapter Included",,,,,
365,Lenovo ThinkPad T580 15.6'' FHD Business Laptop Computer,15.6,16,256,,,Windows10Pro,Intel Core i5 8th Gen,Black,1920x1080,,"Lenovo ThinkPad T580 15.6'' FHD Business Laptop Computer, Intel Core i5-8350U Processor, 16GB RAM, 256GB SSD, Backlit Keyboard, HDMI, CAM, Bluetooth, Windows 10 Pro",,,,,
366,Lenovo ThinkPad T480s FHD (1920x1080) 14.0''Business Laptop,14,24,512,Intel UHD Graphics,,Windows10Pro,Intel Core i7 8th Gen,Black,1920x1080,,"Lenovo ThinkPad T480s FHD (1920x1080) 14.0''Business Laptop, Intel Core i7-8650 Processor, up to 3.7GHz, 24GB DDR4 RAM, 512GB SSD, Backlit Keyboard, Wi-Fi, Fingerprint, Bluetooth, Windows 10 Pro 64bit",,,,,
367,Lenovo Laptop X1 Carbon Gen6 14.0'' FHD Laptop,14,16,512,Intel UHD Graphics 620,,Windows10Pro,Intel Core i7 8th Gen,Black,1920x1080,,"Lenovo Laptop X1 Carbon Gen6 14.0'' FHD Laptop, Intel Core i7 8th Gen 8650 (1.80GHz), 16GB Memory, 512GB SSD, Intel UHD Graphics 620, Fingerprint, Backlit Keyboard, Home, Education, Gaming, Win 10 Pro",,,,,
368,"Lenovo ThinkPad X1 Carbon Gen 6 14"" Full HD 1920 x 1080 Ultrabook - 8th Gen Intel QUAD Core i7-8650U 1.9GHz  16 GB RAM DDR4 512 GB SSD",14,16,512,Intel UHD Graphics 620,Lenovo,Windows10Pro,Intel Core i7 8th Gen,Black,1920x1080,Carbon,"Lenovo ThinkPad X1 Carbon Gen 6 14"" Full HD 1920 x 1080 Ultrabook - 8th Gen Intel QUAD Core i7-8650U 1.9GHz  16 GB RAM DDR4 512 GB SSD,Wi-Fi, Bluetooth,Webcam  Windows 10 Pro (Black)",,,,,
369,"HP Flagship 17.3"" Laptop",17.3,40,1024,Intel Iris Xe Graphics,HP,Windows11Home,Intel Core i5 13th Gen,Silver,1920x1080,,"HP Flagship 17.3"" Laptop, IPS FHD(1920 x 1080) Display, 13th Intel 10-Core i5-1335U(Beats i7-1260U), 40GB DDR4 RAM 1TB SSD, Iris Xe Graphics, Bluetooth 5.3, Backlit KB, Window 11 Home 1 TB PCIe 40GB",,,,,
370,Lenovo ThinkBook 15 Gen 4 Intel Laptop,15.6,16,,,Lenovo,,Intel Core i5 12th Gen,Gray,1920x1080,,"Lenovo ThinkBook 15 Gen 4 Intel Laptop, 15.6"" FHD IPS Touch  60Hz  Narrow Bezel, i5-1235U,  Iris Xe, 16GB, 512GB, Win 11 Pro, One YR Onsite Warranty",,,,,
371,"Lenovo - 2022 - IdeaPad Gaming 3 - Essential Gaming Laptop Computer - 15.6"" FHD - 120Hz - AMD Ryzen 5 6600H - 8GB DDR5 RAM - 256GB NVMe Storage - NVIDIA GeForce RTX 3050 Graphics - Windows 11 Home",15.6,,,,Lenovo,,,Grey,,,"Lenovo - 2022 - IdeaPad Gaming 3 - Essential Gaming Laptop Computer - 15.6"" FHD - 120Hz - AMD Ryzen 5 6600H - 8GB DDR5 RAM - 256GB NVMe Storage - NVIDIA GeForce RTX 3050 Graphics - Windows 11 Home",,,,,
372,Dell Vostro 3520 Laptop,15.6,32,1024,Intel Iris Xe Graphics,DELL,Windows11Pro,Intel Core i7 12th Gen,Black,1920x1080,Vostro,"Dell Vostro 3520 Laptop, 15.6"" FHD Display, Intel Core i7-1255U Upto 4.7GHz, 32GB RAM, 1TB NVMe SSD, HDMI, DisplayPort via USB-C, Card Reader, Wi-Fi, Bluetooth, Windows 11 Pro",,,,,
373,"Acer - Predator Helios 300 - 15.6"" QHD Gaming Laptop  Intel Core i7  NVIDIA GeForce RTX 3070 Ti - 16GB DDR5  1TB SSD - Black PH315-55-795C Notebook",15.6,,,,,,,,,,"Acer - Predator Helios 300 - 15.6"" QHD Gaming Laptop  Intel Core i7  NVIDIA GeForce RTX 3070 Ti - 16GB DDR5  1TB SSD - Black PH315-55-795C Notebook",,,,,
374,Intel NUC X15 15.6Inch Gaming laptop Core i7-12700H Arc 12G A730M Graphics Card 144Hz 16G DDR5 4800MHz RAM 512G SSD,,,,,Intel,,Intel Core i7 12th Gen,,,,Intel NUC X15 15.6Inch Gaming laptop Core i7-12700H Arc 12G A730M Graphics Card 144Hz 16G DDR5 4800MHz RAM 512G SSD,,,,,
375,Lenovo Legion 5 Pro Gaming Laptop,16,32,1024,NVIDIA GeForce RTX 3070,,Windows11Home,AMD Ryzen 7 5000 Series,Gray,,Legion,"Lenovo Legion 5 Pro Gaming Laptop, 16"" QHD IPS 165Hz Display, AMD Ryzen 7 5800H (Beat i9-10980HK), GeForce RTX 3070 140W, 32GB 3200MHz RAM, 1TB PCIe SSD, USB-C, HDMI, RJ45, WiFi 6, RGB KB, Win 11",,,,,
376,Acer Nitro 5 Gaming Laptop,15.6,32,512,NVIDIA GeForce RTX 3050 Ti,Acer,Windows11Pro,Intel Core i7 11th Gen,Black,1920x1080,Nitro,"Acer Nitro 5 Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-11800H Upto 4.6GHz, 32GB RAM, 512GB NVMe SSD, NVIDIA GeForce RTX 3050 Ti Laptop GPU, HDMI, Wi-Fi, Bluetooth, Windows 11 Pro",,,,,
377,"Lenovo ThinkBook 15 G4 IAP 21DJ000VUS Laptop Intel Core i7 12th Gen 1255U (1.70GHz) 16 GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 15.6"" Touchscreen 1920 x 1080 Windows 11 Pro 64-bit",15.6,16,512,Intel Iris Xe Graphics,Lenovo,Windows11Pro,Intel Core i7 12th Gen,Mineral Grey,1920x1080,ThinkBook 15 G4 IAP,"Lenovo ThinkBook 15 G4 IAP 21DJ000VUS Laptop Intel Core i7 12th Gen 1255U (1.70GHz) 16 GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 15.6"" Touchscreen 1920 x 1080 Windows 11 Pro 64-bit",,,,,
378,"Newest ASUS TUF Gaming 17.3"" Laptop",17.3,8,512,NVIDIA GeForce RTX 3050 Ti,,Windows10Home🙋‍♀️MicrosoftWindows11ProUpgrade‍👉CheckABS/HelixcomputerswithWindows11‍👉CheckgamingpcwithWindows11Pro,Intel Core i5 11th Gen,Gray,,,"Newest ASUS TUF Gaming 17.3"" Laptop, Intel 11th Generation Core i5-11260H processor,17.3"" FHD display with 144Hz, 8GB RAM,512GBSSD,NVIDIA GeForce RTX3050 Ti, Backlit keyboard, Windows 10 Home OS",,,,,
379,2023 ASUS Vivobook 16 Laptop,16,16,1024,Intel Iris Xe Graphics,ASUS,Windows11Home,Intel Core i7 13th Gen,Indie Black (Plastic),1920x1200,,"2023 ASUS Vivobook 16 Laptop, 16” WUXGA (1920 x 1200) 16:10 Display, Intel Core i7-13700H CPU, Intel Iris Xe Graphics, 16GB RAM, 1TB SSD, Windows 11 Home, Indie Black, F1605VA-DS74",,,,,
380,"New ASUS VivoBook 15 15.6"" FHD High Performance Touchscreen Laptop | Intel Core i3-1115G4 Processor | 8GB Memory | 128GB SSD | Intel UHD Graphics | Windows 10 Home in S Mode | Bundle with Mouse Pad",15.6,8,128,Intel UHD Graphics,ASUS,Windows10inSmode,Intel Core i3 11th Gen,Slate Gray,,,"New ASUS VivoBook 15 15.6"" FHD High Performance Touchscreen Laptop | Intel Core i3-1115G4 Processor | 8GB Memory | 128GB SSD | Intel UHD Graphics | Windows 10 Home in S Mode | Bundle with Mouse Pad",,,,,
381,Lenovo ThinkPad X1 Carbon Gen 11 Intel Laptop,14,32,,,ThinkPad,,Intel Core i7 13th Gen,Black,1920x1200,,"Lenovo ThinkPad X1 Carbon Gen 11 Intel Laptop, 14"" IPS  LED , vPro®,  Iris Xe, 32GB, 512GB, Win 11 Pro, One YR Onsite Warranty",,,,,
382,"Asus TUF 15.6"" 144Hz FHD Gaming Laptop | Intel Core i5-11400H Processor | NVIDIA GeForce RTX 3050 | 8GB RAM | 512GB SSD | Backlit Keyboard | Windows 11 | Grey | Bundle with HDMI Cable",15.6,8,512,NVIDIA GeForce RTX 3050,ASUS,Windows11Home,Intel Core i5 11th Gen,Grey,,TUF Gaming,"Asus TUF 15.6"" 144Hz FHD Gaming Laptop | Intel Core i5-11400H Processor | NVIDIA GeForce RTX 3050 | 8GB RAM | 512GB SSD | Backlit Keyboard | Windows 11 | Grey | Bundle with HDMI Cable",,,,,
383,"MSI Laptop Intel Core i9 11th Gen 11900H (2.50GHz) 32GB Memory 2 TB NVMe SSD NVIDIA GeForce RTX 3060 Laptop GPU 16.0"" Touchscreen Windows 10 Pro 64-bit Creator Z16 A11UET-043",16,32,2048,NVIDIA GeForce RTX 3060,MSI,Windows10Pro,Intel Core i9 11th Gen,Lunar Gray,2560x1600,,"MSI Laptop Intel Core i9 11th Gen 11900H (2.50GHz) 32GB Memory 2 TB NVMe SSD NVIDIA GeForce RTX 3060 Laptop GPU 16.0"" Touchscreen Windows 10 Pro 64-bit Creator Z16 A11UET-043",,,,,
384,MSI GF63 Thin Gaming Laptop,15.6,64,2048,NVIDIA GeForce RTX 4050,,Windows11Home,Intel Core i7 11th Gen,Black,,,"MSI GF63 Thin Gaming Laptop, 15.6"" FHD IPS 144Hz, 12th Gen Intel 10-Core i7-12650H, Geforce RTX 4050, 64GB DDR4, 2TB PCIe SSD+2TB HDD, Backlit, RJ45, USB-C, WIFi 6, SPS HDMI 2.1 Cable, Win 11",,,,,
385,ASUS VivoBook Pro Gaming Laptop,16,32,1024,NVIDIA GeForce RTX 3050 Ti,ASUS,Windows11Home,Intel Core i7 12th Gen,Grey,2560x1600,VivoBook,"ASUS VivoBook Pro Gaming Laptop, 16"" Display, Intel Core i7-12650H Upto 4.7GHz, 32GB RAM, 1TB NVMe SSD, NVIDIA GeForce RTX 3050 Ti, HDMI, Thunderbolt, Windows 11 Home (N7600ZE-EB77)",,,,,
386,"HP Flagship 17.3"" HD+ Business Laptop",17.3,32,1024,Intel UHD Graphics,,Windows11inSmode,Intel Core i3,Silver,1600x900,,"HP Flagship 17.3"" HD+ Business Laptop, 11th Gen Intel i3-1125G4(> i5-1035G7), 32GB DDR4 RAM, 1TB SSD, Fast Charge, Bluetooth, WiFi 5, Webcam, W/HDMI, Windows 11 S 1 TB 32GB",,,,,
387,"Lenovo IdeaPad Flex 5 16IAU7 Intel Core i7 12th Gen 1255U (1.70GHz) 16GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 16"" Touchscreen 1920 x 1200 Convertible 2-in-1 Laptop Windows 11 Home 64-bit 82R80003US",16,16,512,Intel Iris Xe Graphics,Lenovo,Windows11Home,Intel Core i7 12th Gen,Storm Grey,1920x1200,IdeaPad Flex 5 16IAU7,"Lenovo IdeaPad Flex 5 16IAU7 Intel Core i7 12th Gen 1255U (1.70GHz) 16GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 16"" Touchscreen 1920 x 1200 Convertible 2-in-1 Laptop Windows 11 Home 64-bit 82R80003US",,,,,
388,"MSI GS Series - 15.6"" 240 Hz - Intel Core i9 12th Gen 12900H (2.50GHz) - NVIDIA GeForce RTX 3070 Ti Laptop GPU - 32 GB DDR5 - 1 TB NVMe SSD - Windows 11 Home 64-bit - Gaming Laptop (Stealth GS66 12UGS-297US )",15.6,32,1024,NVIDIA GeForce RTX 3070 Ti,MSI,Windows11Home,Intel Core i9 12th Gen,Black,2560x1440,GS Series,"MSI GS Series - 15.6"" 240 Hz - Intel Core i9 12th Gen 12900H (2.50GHz) - NVIDIA GeForce RTX 3070 Ti Laptop GPU - 32 GB DDR5 - 1 TB NVMe SSD - Windows 11 Home 64-bit - Gaming Laptop (Stealth GS66 12UGS-297US )",,,,,
389,HP 15 Laptop,15.6,16,256,Intel Iris Xe Graphics,HP,Windows10Pro,Intel Core i5 11th Gen,Silver,1920x1080,,"HP 15 Laptop, 15.6"" IPS FHD Display, Intel Core i5-1135G7 Upto 4.2GHz, 16GB RAM, 256GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro S",,,,,
390,"ASUS Zenbook Pro 16 Laptop 16"" 165Hz Refresh Rate Display",16,32,1024,NVIDIA GeForce RTX 3070 Ti,ASUS,Windows11Home,Intel Core i7 12th Gen,Tech Black (Aluminum),2560x1600,Zenbook Pro,"ASUS Zenbook Pro 16 Laptop 16"" 165Hz Refresh Rate Display, Intel i7-12650H CPU, ASUS DialPad, NVIDIA GeForce RTX 3070 Ti Graphics, 32GB RAM, 1TB SSD, Windows 11 Home, Tech Black, UX6601ZW-DB76",,,,,
391,"MSI Laptop Intel Core i3 12th Gen 1215U (1.20GHz) 8GB Memory 512 GB NVMe SSD Intel UHD Graphics 15.6"" Windows 11 Home 64-bit Modern 15 B12M-433US",15.6,8,512,Intel UHD Graphics,MSI,Windows11Home,Intel Core i3 12th Gen,Classic Black,1920x1080,,"MSI Laptop Intel Core i3 12th Gen 1215U (1.20GHz) 8GB Memory 512 GB NVMe SSD Intel UHD Graphics 15.6"" Windows 11 Home 64-bit Modern 15 B12M-433US",,,,,
392,"Lenovo Ideapad 1 15.6"" HD Laptop",15.6,12,128,AMD Radeon Graphics,Lenovo,Windows11inSmode,AMD Athlon Silver,Gray,1366x768,IdeaPad,"Lenovo Ideapad 1 15.6"" HD Laptop, AMD Athlon Silver 3050U 2.3 GHz (Beats i3-1005G1), 12GB LPDDR5 128GB eMMC, Wi-Fi 6, Webcam, HDMI, W11H in S mode 128 GB 12GB",,,,,
393,ASUS ZenBook Pro Duo 15 OLED UX582 Laptop,15.6,32,1024,NVIDIA GeForce RTX 3060,ASUS,Windows11Pro,Intel Core i9 12th Gen,Celestial Blue (Aluminum),1920x1080,ZenBook Pro Duo 15 OLED,"ASUS ZenBook Pro Duo 15 OLED UX582 Laptop, 15.6"" OLED FHD Touch Display, Intel Core i9-12900H, 32GB, 1TB, GeForce RTX 3060 Laptop GPU, ScreenPad Plus, Windows 11 Pro, Celestial Blue, UX582ZM-XS96T",,,,,
394,"New HP 14"" HD Laptop | Intel Core i5-1135G7 | 32GB Memory | 1TB SSD | Windows 10 Home | Digi Camo",14,32,1024,Intel Iris Xe Graphics,HP,Windows10Home🙋‍♀️MicrosoftWindows11ProUpgrade‍👉CheckABS/HelixcomputerswithWindows11,Intel Core i5 11th Gen,Camouflage,,,"New HP 14"" HD Laptop | Intel Core i5-1135G7 | 32GB Memory | 1TB SSD | Windows 10 Home | Digi Camo",,,,,
395,"Lenovo IdeaPad 3 15.6"" Full HD IPS 120Hz Gaming Laptop",15.6,32,2048,NVIDIA GeForce RTX 3050 Ti,Lenovo,Windows11Pro,Intel Core i7 12th Gen,Black,1920x1080,IdeaPad,"Lenovo IdeaPad 3 15.6"" Full HD IPS 120Hz Gaming Laptop,12th Gen Intel Core i7-12700H 14-Core Processor,32GB DDR4 RAM,2TB SSD,4GB NVIDIA GeForce RTX 3050 Ti,Wifi-AX,Bluetooth,Windows 11 Home",,,,,
396,"Acer Nitro 5 - 15.6"" 165 Hz IPS - AMD Ryzen 7 6000 Series 6800H (3.20GHz) - NVIDIA GeForce RTX 3070 Ti Laptop GPU - 32 GB DDR5 - 2 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (AN515-46-R5XN )",15.6,32,2048,NVIDIA GeForce RTX 3070 Ti,Acer,Windows11Home,AMD Ryzen 7 6000 Series,Black,2560x1440,Nitro 5,"Acer Nitro 5 - 15.6"" 165 Hz IPS - AMD Ryzen 7 6000 Series 6800H (3.20GHz) - NVIDIA GeForce RTX 3070 Ti Laptop GPU - 32 GB DDR5 - 2 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (AN515-46-R5XN )",,,,,
397,ASUS VivoBook S 14 OLED Slim Laptop,14,16,512,Intel Iris Xe Graphics,ASUS,Windows11Home,Intel Core i7 12th Gen,Indie Black,2880x1800,VivoBook S,"ASUS VivoBook S 14 OLED Slim Laptop, 14"" 2.8K 16:10 Display, Intel Evo Platform, Intel Core i7-12700H CPU, 16GB RAM, 512GB SSD, Windows 11 Home, Indie Black, K3402ZA-DB74",,,,,
398,Acer Aspire 3 Laptop,15.6,8,512,AMD Radeon Graphics,Acer,Windows11Pro,AMD Ryzen 5,Silver,1920x1080,Aspire,"Acer Aspire 3 Laptop, 15.6"" IPS FHD Display, AMD Ryzen 5 7520U Upto 4.3GHz, 8GB RAM, 512GB NVMe SSD, HDMI, Wi-Fi, Bluetooth, Windows 11 Pro",,,,,
399,ASUS TUF Gaming F15 Gaming Laptop,15.6,8,512,NVIDIA GeForce RTX 3050,ASUS,Windows11Home,Intel Core i5 11th Gen,Eclipse Gray,1920x1080,TUF Gaming F15,"ASUS TUF Gaming F15 Gaming Laptop, 15.6"" 144Hz Full HD IPS-Type, Intel Core i5-11400H, GeForce RTX 3050, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 6, Windows 11 Home, FX506HCB-US51",,,,,
400,MSI Pulse GL66 Gaming Laptop,15.6,32,1024,NVIDIA GeForce RTX 3050,MSI,Windows11Pro,Intel Core i7 12th Gen,Black,1920x1080,Pulse,"MSI Pulse GL66 Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H Upto 4.7GHz, 32GB RAM, 1TB NVMe SSD, NVIDIA GeForce RTX 3050, HDMI, Wi-Fi, Bluetooth, Windows 11 Pro",,,,,
401,"Acer Nitro 5 - 15.6"" 165 Hz IPS - Intel Core i7 12th Gen 12700H (2.30GHz) - NVIDIA GeForce RTX 3070 Laptop GPU - 16 GB DDR4 - 512 GB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (AN515-58-71J9 )",15.6,16,512,NVIDIA GeForce RTX 3070,Acer,Windows11Home,Intel Core i7 12th Gen,Obsidian Black,1920x1080,Nitro 5,"Acer Nitro 5 - 15.6"" 165 Hz IPS - Intel Core i7 12th Gen 12700H (2.30GHz) - NVIDIA GeForce RTX 3070 Laptop GPU - 16 GB DDR4 - 512 GB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (AN515-58-71J9 )",,,,,
