ID,Name,Price,Rating,Number of Ratings,Product Information
34,"ASUS VivoBook 15.6"" FHD Business Laptop Newest, 6 Cores AMD Ryzen 5 Processor, 16GB RAM 1TB SSD, Backlit Keyboard, 180° Lay-Flat Hinge, Windows11, Blue +CUE Accessories",$599.00,4.3 out of 5 stars,24,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|-|Operating System|:|Windows 11
35,"Acer Swift 3 SF314-43-R6NE Laptop | 14"" Full HD IPS | AMD Ryzen 7 5700U Octa-Core Processor | AMD Radeon Graphics | 16GB LPDDR4X | 512GB SSD | Wi-Fi 6 | Fingerprint Reader | Backlit KB | Windows 11",$781.24,4.4 out of 5 stars,717,Display Size|:|14 inches|Disk Size|:|512 GB|RAM|:|16 GB|Operating System|:|Windows 11 Home
36,"Acer Predator Helios 16 Gaming Laptop | 13th Gen Intel Core i7-13700HX | NVIDIA GeForce RTX 4060 | 16"" 2560 x 1600 165Hz G-SYNC Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6E | PH16-71-74UU","$1,649.99",4.5 out of 5 stars,"1,829",Display Size|:|16 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11 Home
37,"HP Stream 11 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 11.6” HD Anti-Glare Display, Windows 11, Long Battery Life, Thin & Portable, Includes Microsoft 365 (11-ak0040nr, 2021 Diamond White)",$199.00,4.3 out of 5 stars,"1,280",Display Size|:|11.6 inches|Disk Size|:|0 TB|RAM|:|4 GB|Operating System|:|Windows 11 Home
38,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch HD Touchscreen, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0070nr, 2021, Pale Rose Gold)",$274.99,4.4 out of 5 stars,703,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Windows 11 S
39,"Acer 2022 15inch HD IPS Chromebook, Intel Dual-Core Celeron Processor Up to 2.55GHz, 4GB RAM, 32GB Storage, Super-Fast WiFi Up to 1300 Mbps, Chrome OS-(Renewed) (Dale Silver)",$162.00,4.4 out of 5 stars,"1,103",Display Size|:|15 inches|Disk Size|:|32 GB|RAM|:|4.0 GB|Operating System|:|Chrome OS
40,"Lenovo 2023 High Performance 15'' FHD IPS Laptop, Intel Quad-Core Pentium Processor Up to 3.0GHz, 8GB RAM, 256GB SSD, Super-Fast WiFi Speed, Windows 11 OS, Dale Blue (Renewed)",$249.99,4.2 out of 5 stars,23,Display Size|:|15 inches|Disk Size|:|256 GB|RAM|:|-|Operating System|:|Windows 11
41,"Dell Inspiron 16 5625 Small Thin & Light Portable Laptop - 16 inch FHD+ (1920 x 1200) Display, AMD Ryzen 7 5825U, 16GB DDR4 RAM, 512GB SSD, Radeon Graphics, Bluetooth, Windows 11 Pro - Silver",$649.97,4.1 out of 5 stars,156,Display Size|:|16 inches|Disk Size|:|512 GB|RAM|:|16 GB|Operating System|:|Windows 11 Pro
42,"2023 Newest Acer Aspire 5 Laptop, 15.6"" FHD IPS Display, AMD Ryzen 3 3350U Processor, 8GB DDR4 RAM, 256GB PCIe SSD, WiFi6, Backlit Keyboard, Fingerprint Reader, Amazon Alexa, Windows 11 Home in S mode",$439.90,4.5 out of 5 stars,"2,743",Display Size|:|15.6 inches|Disk Size|:|256 GB|RAM|:|-|Operating System|:|Windows 11 Home
43,"HP 15.6'' Laptop with 1 Year Microsoft Office 365, Intel Pentium Quad-Core Processor, Webcam, HDMI, Wi-Fi, RJ-45 Ethernet Port, USB Type-C, Long Battery Life, NLY MP, Windows 11 (16GB RAM1TB SSD), Red",$499.99,4.6 out of 5 stars,9,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|16.0 GB|Operating System|:|Windows 11 S
44,"acer Aspire 515.6"" FHD IPS Slim Laptop, AMD Ryzen 3 3350U 4-Core Processor(Up to 3.5GHz) 20GB RAM, 512GB NVMe SSD, Backlit KB, Fingerprint Reader, Amazon Alexa, Win 11, 3in1 Accessories",$489.00,4.3 out of 5 stars,308,Display Size|:|15.6 inches|Disk Size|:|256 GB|RAM|:|20 GB|Operating System|:|Windows 11
45,"Dell Inspiron 7630 Laptop - Intel Core i7-13700H, 16-inch 16:10 2.5K Display, 16GB LPDDR5 RAM, 512GB SSD, NVIDIA GeForce RTX 3050 6GB GDDR6, Services Included, Windows 11 Pro - Silver","$1,399.99",4.1 out of 5 stars,157,Display Size|:|16 inches|Disk Size|:|-|RAM|:|32 GB|Operating System|:|Windows 11 Pro
46,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver","$1,049.99",4.1 out of 5 stars,156,Display Size|:|16 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11
47,"HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode With Office 365 Personal For 1 Year (14-cb185nr, Royal Blue)",$210.00,4.4 out of 5 stars,"2,018",Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Windows 10 Home
48,"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",$171.22,4.2 out of 5 stars,181,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Windows 11
49,"Acer Predator Helios 16 Gaming Laptop | 13th Gen Intel Core i7-13700HX | NVIDIA GeForce RTX 4060 | 16"" 2560 x 1600 165Hz G-SYNC Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6E | PH16-71-74UU","$1,649.99",4.5 out of 5 stars,"1,829",Display Size|:|16 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11 Home
50,"Acer 2022 Chromebook 315 15.6"" Full HD 1080p IPS Touchscreen Laptop PC, Intel Celeron N4020 Dual-Core Processor, 4GB DDR4 RAM, 64GB eMMC, Webcam, WiFi, 12 Hrs Battery Life, Chrome OS, Silver",$191.90,4.3 out of 5 stars,353,Display Size|:|15.6 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Chrome OS
51,"Lenovo - 2022 - IdeaPad 3i - Essential Laptop Computer - Intel Core i5 12th Gen - 15.6"" FHD Display - 8GB Memory - 512GB Storage - Windows 11 Pro",$491.34,4.5 out of 5 stars,379,Display Size|:|15.6|Disk Size|:|512 GB|RAM|:|8 GB|Operating System|:|Windows 11 Pro
52,"Lenovo 2023 High Performance 15'' FHD IPS Laptop, Intel Quad-Core Pentium Processor Up to 3.0GHz, 8GB RAM, 256GB SSD, Super-Fast WiFi Speed, Windows 11 OS, Dale Blue (Renewed)",$249.99,4.2 out of 5 stars,23,Display Size|:|15 inches|Disk Size|:|256 GB|RAM|:|-|Operating System|:|Windows 11
53,"Apple MacBook Air with Intel Core i5, 1.6GHz, (13-inch, 4GB,128GB SSD) - Silver (Renewed)",$229.00,4.2 out of 5 stars,"1,733",Display Size|:|13.3 inches|Disk Size|:|128 GB|RAM|:|4 GB|Operating System|:|Mac OS
54,"HP EliteBook 745 G5 14"" Diagonal FHD Display LED Laptop PC, AMD PRO Ryzen-Series Processor, 16GB DDR4 Ram, 256GB SSD Drive, Web Camera, USB Type C, HDMI, Windows 11 Pro (Renewed)",$249.99,,,Display Size|:|14 inches|Disk Size|:|256 GB|RAM|:|-|Operating System|:|Windows 11 Pro
55,"ASUS VivoBook 15.6"" FHD Business Laptop Newest, 6 Cores AMD Ryzen 5 Processor, 16GB RAM 1TB SSD, Backlit Keyboard, 180° Lay-Flat Hinge, Windows11, Blue +CUE Accessories",$599.00,4.3 out of 5 stars,24,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|-|Operating System|:|Windows 11
56,"Acer 2023 Newest Aspire 5 Slim Laptop, 15.6"" Full HD Display, 20GB RAM, 1TB SSD Storage, AMD Ryzen 4-Core Processor, Backlit Keyboard, Fingerprint Login, HDMI, Ethernet Port, Type-C, Windows 11 S",$519.99,4.4 out of 5 stars,110,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11 S
57,"Lenovo IdeaPad, 20GB RAM, 1TB SSD, AMD Dual-core Processor, 15.6 Inch HD Anti-Glare Display, Long Battery Life Up to 9.5Hr, HDMI, SD Card Reader, Windows 11, 1 Year Microsoft 365",$425.55,4.3 out of 5 stars,486,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11
58,"HP 2022 Premium 14-inch HD Thin and Light Laptop, Intel Quad-Core Processor, 16GB RAM, 64GB Storage, Long Battery Life, Webcam, Bluetooth, HDMI, Wi-Fi, Rose Gold, Windows 11 + 1 Year Microsoft 365",$329.00,4.2 out of 5 stars,527,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|16.0 GB|Operating System|:|Windows 11
59,"Dell Inspiron 16 5625 Small Thin & Light Portable Laptop - 16 inch FHD+ (1920 x 1200) Display, AMD Ryzen 7 5825U, 16GB DDR4 RAM, 512GB SSD, Radeon Graphics, Bluetooth, Windows 11 Pro - Silver",$649.97,4.1 out of 5 stars,156,Display Size|:|16 inches|Disk Size|:|512 GB|RAM|:|16 GB|Operating System|:|Windows 11 Pro
60,"Acer Swift Go 14 Intel Evo Thin & Light Laptop 14"" 1920x1200 100% sRGB Touch Display Intel Core i7-1355U Intel Iris Xe 16GB LPDDR5 512GB Gen 4 SSD Killer WiFi 6E AX1675 SFG14-71T-72QV",$899.99,4.7 out of 5 stars,28,Display Size|:|14 inches|Disk Size|:|512 GB|RAM|:|16.0 GB|Operating System|:|Windows 11 Home
61,"VGKE [Windows 11 Pro] B14 Air Windows 11 Laptop, 14.1"" Full HD 1920 * 1080 IPS, Intel Celeron J4105 Processor, 8GB RAM LPDDR4, 256GB SSD, Metal Body, Grey",$279.99,4.1 out of 5 stars,34,Display Size|:|14.1 inches|Disk Size|:|256 GB|RAM|:|8 GB|Operating System|:|Windows 11
62,"HP 2023 Latest Pavilion Business Laptop, 15.6"" FHD Touchscreen, 13th Gen Intel Core i7-1355U, 32GB RAM, 1TB PCIe SSD, Webcam, FP Reader, Backlit KB, Wi-Fi 6, Windows 11 Pro, Silver",$909.00,4.3 out of 5 stars,16,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|32 GB|Operating System|:|Windows 11 Pro
63,"Dell Latitude 7490 Intel Core i7-8650U 16GB DDR4 RAM, 512GB SSD 14"" FHD Windows 10 Pro Laptop (Renewed)",$330.95,4.2 out of 5 stars,569,Display Size|:|14 inches|Disk Size|:|512 GB|RAM|:|16 GB|Operating System|:|Windows 10 Pro
64,"Lenovo IdeaPad 3i 14 Laptop, 14"" FHD Screen, Intel i3-1115G4 Processor, 20GB RAM, 1TB SSD, HDMI, Media Card Reader, Webcam, Dolby Audio, Wi-Fi 6, Windows 11 Home, Platinum Grey",$389.00,4.3 out of 5 stars,22,Display Size|:|14 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11 Home
65,"acer Aspire 515.6"" FHD IPS Slim Laptop, AMD Ryzen 3 3350U 4-Core Processor(Up to 3.5GHz) 20GB RAM, 512GB NVMe SSD, Backlit KB, Fingerprint Reader, Amazon Alexa, Win 11, 3in1 Accessories",$489.00,4.3 out of 5 stars,308,Display Size|:|15.6 inches|Disk Size|:|256 GB|RAM|:|20 GB|Operating System|:|Windows 11
66,"HP 15.6'' Laptop with 1 Year Microsoft Office 365, Intel Pentium Quad-Core Processor, Webcam, HDMI, Wi-Fi, RJ-45 Ethernet Port, USB Type-C, Long Battery Life, NLY MP, Windows 11 (16GB RAM1TB SSD), Red",$499.99,4.6 out of 5 stars,9,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|16.0 GB|Operating System|:|Windows 11 S
67,"Dell Inspiron 7630 Laptop - Intel Core i7-13700H, 16-inch 16:10 2.5K Display, 16GB LPDDR5 RAM, 512GB SSD, NVIDIA GeForce RTX 3050 6GB GDDR6, Services Included, Windows 11 Pro - Silver","$1,399.99",4.1 out of 5 stars,157,Display Size|:|16 inches|Disk Size|:|-|RAM|:|32 GB|Operating System|:|Windows 11 Pro
68,"Acer 2023 Newest Aspire 5 Slim Laptop, 15.6"" Full HD Display, 20GB RAM, 1TB SSD Storage, AMD Ryzen 4-Core Processor, Backlit Keyboard, Fingerprint Login, HDMI, Ethernet Port, Type-C, Windows 11 S",$519.99,4.4 out of 5 stars,110,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11 S
69,"HP Pavillion 15.6 HD Newest Laptop Computer for Business and Student, 16GB RAM, 1TB SSD, Intel Quad-Core Pentium N5000, Ethernet, WiFi, Webcam, Fast Charge, HDMI, Win 10 Home, w/GM Accessories, Red",$499.00,4.3 out of 5 stars,157,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|16.0 GB|Operating System|:|Windows 10 S
70,"HP 15.6 inch Laptop, 16GB Memory, 1TB SSD Storage, Intel Core i3-1115G4 Processor, 15.6"" HD Anti-Glare Display, HDMI, SD Card Reader, Wi-Fi & Bluetooth, Windows 11 Home, 1 Year Microsoft 365",$449.00,4.4 out of 5 stars,231,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|-|Operating System|:|Windows 11
71,"Lenovo IdeaPad 3i Laptop, 14"" FHD Screen, Intel i3-1115G4 Processor, 12GB RAM, 256GB SSD, Webcam, HDMI, Media Card Reader, Dolby Audio, Wi-Fi 6, Windows 11 Home, Platinum Grey",$319.52,4.3 out of 5 stars,17,Display Size|:|14 inches|Disk Size|:|256 GB|RAM|:|12 GB|Operating System|:|Windows 11 Home
72,"2022 Newest Lenovo IdeaPad 1 Laptop, 14"" Anti-Glare Display, Intel Quad-Core Processor, Intel UHD Graphics, 4GB RAM, 256GB PCIe SSD, Windows 11 + Microfiber Cloth",$279.00,4.2 out of 5 stars,331,Display Size|:|15.6 inches|Disk Size|:|256 GB|RAM|:|12 GB|Operating System|:|Windows 11
73,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch HD Touchscreen, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0070nr, 2021, Pale Rose Gold)",$274.99,4.4 out of 5 stars,703,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Windows 11 S
74,"HP 2022 Premium 14-inch HD Thin and Light Laptop, Intel Quad-Core Processor, 16GB RAM, 64GB Storage, Long Battery Life, Webcam, Bluetooth, HDMI, Wi-Fi, Pink, Windows 11 + 1 Year Microsoft 365",$329.00,4.2 out of 5 stars,527,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|16 GB|Operating System|:|Windows 11
75,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",$407.00,4.3 out of 5 stars,"3,373",Display Size|:|15.6 inches|Disk Size|:|256 GB|RAM|:|8 GB|Operating System|:|Windows 11
