ID,Name,Price,Rating,Number of Ratings,Product Information
11,"Acer 2022 Chromebook 315 15.6"" Full HD 1080p IPS Touchscreen Laptop PC, Intel Celeron N4020 Dual-Core Processor, 4GB DDR4 RAM, 64GB eMMC, Webcam, WiFi, 12 Hrs Battery Life, Chrome OS, Silver",$206.90,4.3 out of 5 stars,352,Display Size|:|15.6 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Chrome OS
12,"Acer 2023 Newest Aspire 5 Slim Laptop, 15.6"" Full HD Display, 20GB RAM, 1TB SSD Storage, AMD Ryzen 4-Core Processor, Backlit Keyboard, Fingerprint Login, HDMI, Ethernet Port, Type-C, Windows 11 S",$494.99,4.4 out of 5 stars,109,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11 S
13,"HP 17 inch Laptop, HD+ Display, 12th Generation Intel Core i5-1235U, 8 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Windows 11 Home, 17-cn2099nr (2023)",$509.99,4.3 out of 5 stars,15,Display Size|:|17.3 inches|Disk Size|:|512 GB|RAM|:|-|Operating System|:|Windows 11 Home
14,"HP 2023 Latest Pavilion Business Laptop, 15.6"" FHD Touchscreen, 13th Gen Intel Core i7-1355U, 32GB RAM, 1TB PCIe SSD, Webcam, FP Reader, Backlit KB, Wi-Fi 6, Windows 11 Pro, Silver",$909.00,4.3 out of 5 stars,16,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|32 GB|Operating System|:|Windows 11 Pro
15,"Lenovo - 2022 - IdeaPad 3i - Essential Laptop Computer - Intel Core i5 12th Gen - 15.6"" FHD Display - 8GB Memory - 512GB Storage - Windows 11 Pro",$459.99,4.5 out of 5 stars,379,Display Size|:|15.6|Disk Size|:|512 GB|RAM|:|8 GB|Operating System|:|Windows 11 Pro
16,"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",$489.98,4.4 out of 5 stars,324,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|32 GB|Operating System|:|Windows 11 Home
17,"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode",$299.99,4.3 out of 5 stars,"2,473",Display Size|:|15.6 inches|Disk Size|:|128 GB|RAM|:|8 GB|Operating System|:|Windows 11 S
18,"HP Latest Stream 14"" HD Laptop, Intel Celeron Processor, 16GB Memory, 64GB eMMC Storage, Fast Charge, HDMI, Up to 11 Hours Long Battery Life, Office 365 1-Year, Win 11 S, Microfiber Bundle, Blue",$319.99,4.2 out of 5 stars,514,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|16 GB|Operating System|:|Windows 11
19,"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",$221.22,4.4 out of 5 stars,"2,368",Display Size|:|14 inches|Disk Size|:|64|RAM|:|4 GB|Operating System|:|Chrome OS
20,"ASUS Chromebook C423 14.0"" FHD NanoEdge -Display -with 180 Degree -Hinge Intel Celeron N3350 -Processor, 4GB -RAM, 64GB eMMC Storage, Silver, C423NA-IS44F",$239.98,4.1 out of 5 stars,355,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Chrome OS
21,"Lenovo 2023 High Performance 15'' FHD IPS Laptop, Intel Quad-Core Pentium Processor Up to 3.0GHz, 8GB RAM, 256GB SSD, Super-Fast WiFi Speed, Windows 11 OS, Dale Blue (Renewed)",$249.99,3.9 out of 5 stars,7,Display Size|:|15 inches|Disk Size|:|256 GB|RAM|:|-|Operating System|:|Windows 11
22,"Lenovo IdeaPad, 20GB RAM, 1TB SSD, AMD Dual-core Processor, 15.6 Inch HD Anti-Glare Display, Long Battery Life Up to 9.5Hr, HDMI, SD Card Reader, Windows 11, 1 Year Microsoft 365",$416.55,4.3 out of 5 stars,483,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11
23,"HP 17.3"" Flagship HD+ Business Laptop, 16GB DDR4 RAM, 1TB PCIe SSD, Intel Quad Core i3-1125G4(Beat i5-1035G4), Bluetooth, HDMI, Webcam, Windows 11, Silver, w/GM Accessories",$649.00,4.3 out of 5 stars,169,Display Size|:|17.3 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11
24,"HP Pavilion Laptop, 15.6"" HD Display, Intel Pentium Quad-Core Processor, 32GB DDR4 RAM, 1TB SSD, Online Conferencing, Webcam, HDMI, Bluetooth, WiFi, Windows 11",$479.00,4.4 out of 5 stars,367,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|32.0 GB|Operating System|:|Windows 11
25,"ASUS Chromebook C423 14.0"" FHD NanoEdge -Display -with 180 Degree -Hinge Intel Celeron N3350 -Processor, 4GB -RAM, 64GB eMMC Storage, Silver, C423NA-IS44F",$239.98,4.1 out of 5 stars,355,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Chrome OS
26,"Acer Nitro 5 AN515-58-57Y8 Gaming Laptop | Intel Core i5-12500H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 16GB DDR4 | 512GB Gen 4 SSD | Killer Wi-Fi 6 | Backlit Keyboard",$739.99,4.4 out of 5 stars,"2,659",Display Size|:|15.6 inches|Disk Size|:|512 GB|RAM|:|16.0 GB|Operating System|:|Windows 11 Home
27,"ASUS G614JI-AS94 ROG Strix G16 (2023) Gaming Laptop, 16â€ 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94, Eclipse Gray","$1,699.99",4.5 out of 5 stars,601,Display Size|:|16 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11 Home
28,"Acer Nitro 17 Gaming Laptop | AMD Ryzen 7 7840HS Octa-Core CPU | NVIDIA GeForce RTX 4050 Laptop GPU | 17.3"" FHD 165Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6E | RGB Backlit KB | AN17-41-R6L9",$999.99,4.4 out of 5 stars,156,Display Size|:|17.3 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11 Home
29,"Lenovo 2023 High Performance 15'' FHD IPS Laptop, Intel Quad-Core Pentium Processor Up to 3.0GHz, 8GB RAM, 256GB SSD, Super-Fast WiFi Speed, Windows 11 OS, Dale Blue (Renewed)",$249.99,3.9 out of 5 stars,7,Display Size|:|15 inches|Disk Size|:|256 GB|RAM|:|-|Operating System|:|Windows 11
30,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",$349.00,4.3 out of 5 stars,72,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|-|Operating System|:|Windows 11 Home
31,"Lenovo 15.6"" Laptop, IdeaPad 1, 20GB RAM, 1TB PCIe SSD, Wi-Fi 6 and Bluetooth 5.1, HDMI, SD Card Reader, 15.6"" HD Anti-Glare Display, AMD Athlon Dual-core Processor, Windows 11 Home in S Mode",$399.00,4.3 out of 5 stars,55,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11
32,"2022 Newest Lenovo IdeaPad 1 Laptop, 14"" Anti-Glare Display, Intel Quad-Core Processor, Intel UHD Graphics, 4GB RAM, 256GB PCIe SSD, Windows 11 + Microfiber Cloth",$265.00,4.2 out of 5 stars,330,Display Size|:|15.6 inches|Disk Size|:|256 GB|RAM|:|12 GB|Operating System|:|Windows 11
33,"Acer 2023 Newest Aspire 5 Slim Laptop, 15.6"" Full HD Display, 20GB RAM, 1TB SSD Storage, AMD Ryzen 4-Core Processor, Backlit Keyboard, Fingerprint Login, HDMI, Ethernet Port, Type-C, Windows 11 S",$494.99,4.4 out of 5 stars,109,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11 S
34,"Acer Aspire Vero AV15-51-5155 Green PC | 15.6"" FHD IPS 100% sRGB Display | 11th Gen Intel Core i5-1155G7 | Intel Iris Xe Graphics | 8GB DDR4 | 256GB SSD | Wi-Fi 6 | PCR Materials | Windows 11 Home",$449.99,4.4 out of 5 stars,703,Processor Type|:|Core i5|Disk Size|:|256 GB|RAM|:|8 GB|Processor Speed|:|4.5 GHz
35,"LincPlus Laptop 14 inch Thin Light PC,Intel Celeron Full HD IPS Computer 4GB DDR 64GB eMMC Mini Metal Netbook,Support 128GB TF Cardand 1TB SSD Expansion,Windows 10 Home in S Mode",$159.20,3.6 out of 5 stars,349,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Windows 10 S
36,"HP 15 inch Laptop, HD Display, AMD Ryzen 5 5500U, 8 GB RAM, 256 GB SSD, AMD Radeon Graphics, Windows 11 Home, 15-ef2099nr (2023)",$379.99,4.5 out of 5 stars,261,Display Size|:|15.6 inches|Disk Size|:|256 GB|RAM|:|-|Operating System|:|Windows 11 Home
37,"ASUS VivoBook 14 Slim Laptop Computer, 14"" IPS FHD Display, Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB PCIe SSD, Fingerprint Reader, Windows 11 Home in S Mode, Slate Grey, F415EA-AS31",$271.98,4.4 out of 5 stars,582,Display Size|:|14 inches|Disk Size|:|128 GB|RAM|:|4 GB|Operating System|:|Windows 11 Home
38,"ASUS VivoBook 16 Laptop, 16” WUXGA (1920 x 1200) 16:10 Display, AMD Ryzen 5 7530U CPU, AMD Radeon™ Graphics, 8GB RAM, 512GB SSD, Fingerprint Sensor, Windows 11 Home, Indie Black, M1605YA-ES52",$499.99,4.5 out of 5 stars,110,Display Size|:|16 inches|Disk Size|:|512 GB|RAM|:|8 GB|Operating System|:|Windows 11 Home
39,"ASUS ZenBook Pro 15 OLED Laptop 15.6” FHD Touch Display, AMD Ryzen 9 5900HX CPU, NVIDIA GeForce RTX 3050 Ti gpu, 16GB RAM, 1TB PCIe SSD, Windows 11 Pro, Pine Grey, UM535QE-XH91T","$1,049.99",4.0 out of 5 stars,88,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11 Pro
40,"SGIN 17"" Laptop, 8GB RAM 256GB SSD Notebook, 17 Inch Laptops with IPS Full HD, Intel Celeron N4020(Up to 2.8GHz), Mini HDMI, Webcam, Dual Wi-Fi, Windows 11 Home, Expandable Storage 512GB TF(Gray)",$399.99,4.3 out of 5 stars,"1,168",Display Size|:|17.3 inches|Disk Size|:|256 GB|RAM|:|8 GB|Operating System|:|Windows 11 Home
41,"Microsoft Surface Laptop 4 13.5"" Touchscreen AMD Ryzen 5 8GB 128GB Windows 11 H",$439.00,,New Price: ,Display Size|:|13.5 inches|Disk Size|:|128 GB|RAM|:|8 GB|Operating System|:|Windows 11
42,"ASUS C424MA-AS48F Chromebook C424, 14.0"" 180 Degree FHD NanoEdge Display, Intel Dual Core Celeron Processor, 4GB LPDDR4 RAM, 128GB Storage, Silver Color, C424MA-AS48F",$199.99,5.0 out of 5 stars,2,Display Size|:|14 inches|Disk Size|:|128 GB|RAM|:|4 GB|Operating System|:|Chrome OS
43,"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode",$299.99,4.3 out of 5 stars,"2,473",Display Size|:|15.6 inches|Disk Size|:|128 GB|RAM|:|8 GB|Operating System|:|Windows 11 S
44,"Lenovo IdeaPad, 20GB RAM, 1TB SSD, AMD Dual-core Processor, 15.6 Inch HD Anti-Glare Display, Long Battery Life Up to 9.5Hr, HDMI, SD Card Reader, Windows 11, 1 Year Microsoft 365",$416.55,4.3 out of 5 stars,483,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11
45,"Lenovo 2023 Newest IdeaPad 3 14"" FHD Laptop, for Students and Business, Intel Core i3-1115G4(Up to 4.1GHz), 20GB DDR4 RAM, 1TB NVMe SSD, Webcam, HDMI, WiFi 6, Win 11 Home, W/GM Accessories",$399.00,4.1 out of 5 stars,88,Display Size|:|14 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11 S
46,"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode",$299.99,4.3 out of 5 stars,"2,473",Display Size|:|15.6 inches|Disk Size|:|128 GB|RAM|:|8 GB|Operating System|:|Windows 11 S
47,"Azeyou Newest 14.1"" Thin Light Business Student Laptop Computer, up to 2.8GHz Celeron N4020 Processor, 4GB DDR4 RAM, 64GB Storage, 2MP Webcam, WiFi, Bluetooth, Windows 11 Laptop Green",$151.99,3.8 out of 5 stars,18,Display Size|:|14.1 inches|Disk Size|:|64 GB|RAM|:|4.0 GB|Operating System|:|Windows 11
48,"Lenovo IdeaPad, 20GB RAM, 1TB SSD, AMD Dual-core Processor, 15.6 Inch HD Anti-Glare Display, Long Battery Life Up to 9.5Hr, HDMI, SD Card Reader, Windows 11, 1 Year Microsoft 365",$416.55,4.3 out of 5 stars,483,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11
49,"Acer Swift 3 SF314-43-R6NE Laptop | 14"" Full HD IPS | AMD Ryzen 7 5700U Octa-Core Processor | AMD Radeon Graphics | 16GB LPDDR4X | 512GB SSD | Wi-Fi 6 | Fingerprint Reader | Backlit KB | Windows 11",$539.99,4.4 out of 5 stars,717,Display Size|:|14 inches|Disk Size|:|512 GB|RAM|:|16 GB|Operating System|:|Windows 11 Home
50,Gateway 15.6 HD Ultra Slim Notebook in Navy Blue Intel Dual Core up to 3.1Ghz 4GB DDR4 128GB SSD Tuned by THX Audio HDMI Cortana Webcam W11 (Renewed),$148.00,3.5 out of 5 stars,76,Display Size|:|15.6 inches|Disk Size|:|128 GB|RAM|:|4 GB|Operating System|:|Windows 11
51,"jumper Laptop 14 inch 12GB DDR4 RAM 256GB SSD,Intel Quad Core Celeron N4100, Windows 11 Thin and Light Laptops Computer, Full HD 1080P Display,HD Webcam,Dual Speakers,2.4/5Ghz WiFi,Long Battery Life",$287.99,4.3 out of 5 stars,218,Display Size|:|14 inches|Disk Size|:|256 GB|RAM|:|12 GB|Operating System|:|Windows 11 Home
52,"Acer Predator Helios 16 Gaming Laptop | 13th Gen Intel Core i7-13700HX | NVIDIA GeForce RTX 4060 | 16"" 2560 x 1600 165Hz G-SYNC Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6E | PH16-71-74UU","$1,399.99",4.5 out of 5 stars,"1,830",Display Size|:|16 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11 Home
53,"2022 Newest HP 17t Laptop, 17.3"" HD+ Touchscreen, Intel Core i5-1135G7 Processor 2.4GHz to 4.2GHz, 32GB RAM, 1TB PCIe SSD, Webcam, Wi-Fi 6, Backlit Keyboard, Windows 11 Home, Silver",$779.00,4.6 out of 5 stars,76,Display Size|:|17.3 inches|Disk Size|:|1 TB|RAM|:|32 GB|Operating System|:|Windows 11 Home
54,"HP Business Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor (Up to 4.10 GHz), 16GB RAM, 1TB SSD, 11 Hr Battery Life, Micro-Edge, Anti-Glare Screen, Thin & Portable, Win 11",$529.00,4.3 out of 5 stars,66,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11
55,"HP 17.3"" Flagship HD+ Business Laptop, 16GB DDR4 RAM, 1TB PCIe SSD, Intel Quad Core i3-1125G4(Beat i5-1035G4), Bluetooth, HDMI, Webcam, Windows 11, Silver, w/GM Accessories",$649.00,4.3 out of 5 stars,169,Display Size|:|17.3 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11
56,"Acer Aspire Vero AV15-51-5155 Green PC | 15.6"" FHD IPS 100% sRGB Display | 11th Gen Intel Core i5-1155G7 | Intel Iris Xe Graphics | 8GB DDR4 | 256GB SSD | Wi-Fi 6 | PCR Materials | Windows 11 Home",$449.99,4.4 out of 5 stars,703,Processor Type|:|Core i5|Disk Size|:|256 GB|RAM|:|8 GB|Processor Speed|:|4.5 GHz
57,"Lenovo 15.6"" IdeaPad 1 Laptop, 1TB SSD Storage, 20GB Memory, AMD Athlon Silver Processor, 15.6"" HD Display, Wi-Fi 6 & Bluetooth 5.1, SD Card Reader, HDMI, Windows 11 Home, 1 Year Microsoft 365",$399.00,4.8 out of 5 stars,24,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|20|Operating System|:|Windows 11
58,"Apple MacBook Air with Intel Core i5, 1.6GHz, (13-inch, 4GB,128GB SSD) - Silver (Renewed)",$239.81,4.2 out of 5 stars,"1,732",Display Size|:|13.3 inches|Disk Size|:|128 GB|RAM|:|4 GB|Operating System|:|Mac OS
59,"Acer Swift Go 14 Intel Evo Thin & Light Laptop 14"" 1920x1200 100% sRGB Touch Display Intel Core i7-1355U Intel Iris Xe 16GB LPDDR5 512GB Gen 4 SSD Killer WiFi 6E AX1675 SFG14-71T-72QV",$729.99,4.7 out of 5 stars,28,Display Size|:|14 inches|Disk Size|:|512 GB|RAM|:|16.0 GB|Operating System|:|Windows 11 Home
60,"Lenovo IdeaPad 3i 14 Laptop, 14"" FHD Screen, Intel i3-1115G4 Processor, 20GB RAM, 1TB SSD, HDMI, Media Card Reader, Webcam, Dolby Audio, Wi-Fi 6, Windows 11 Home, Platinum Grey",$389.00,4.3 out of 5 stars,22,Display Size|:|14 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11 Home
61,"Lenovo Ideapad 1i 14"" HD (Intel Dual-Core Celeron N4020, 4GB DDR4 RAM, 64GB Storage, UHD Graphics, Anti-Glare, Webcam) Home & Education Laptop, Bluetooth, Wi-Fi 6, Type-C, Win 11 Home in S Mode",$179.98,4.2 out of 5 stars,19,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|64.0 GB|Operating System|:|Windows 11 S
62,"2023 Newest Acer Aspire 5 Laptop, 15.6"" FHD IPS Display, AMD Ryzen 3 3350U Processor, 8GB DDR4 RAM, 256GB PCIe SSD, WiFi6, Backlit Keyboard, Fingerprint Reader, Amazon Alexa, Windows 11 Home in S mode",$389.99,4.5 out of 5 stars,"2,740",Display Size|:|15.6 inches|Disk Size|:|256 GB|RAM|:|-|Operating System|:|Windows 11 Home
63,"HP Pavillion 15.6 HD Newest Laptop Computer for Business and Student, 16GB RAM, 1TB SSD, Intel Quad-Core Pentium N5000, Ethernet, WiFi, Webcam, Fast Charge, HDMI, Win 10 Home, w/GM Accessories, Red",$499.00,4.3 out of 5 stars,156,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|16.0 GB|Operating System|:|Windows 10 S
64,"ASUS TUF Gaming F15 Gaming Laptop, 15.6” 144Hz FHD IPS-Type Display, Intel Core i5-11400H Processor, GeForce RTX 3050 Ti, 16GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 11 Home, FX506HEB-RS53",$849.99,4.6 out of 5 stars,"1,591",Display Size|:|15.6 inches|Disk Size|:|512 GB|RAM|:|16.0 GB|Operating System|:|Windows 11 Home
65,"acer 2023 Newest Aspire 5 Slim Laptop, 15.6"" Full HD Display, 12GB RAM, 1TB SSD Storage, AMD Ryzen 4-Core Processor, Backlit Keyboard, Fingerprint Login, HDMI, Ethernet Port, Type-C, Windows 11 S",$453.99,4.3 out of 5 stars,19,Display Size|:|15.6 inches|Disk Size|:|1 TB|RAM|:|12.0 GB|Operating System|:|Windows 11 S
66,"Lenovo - 2022 - IdeaPad 3i - Essential Laptop Computer - Intel Core i5 12th Gen - 15.6"" FHD Display - 8GB Memory - 512GB Storage - Windows 11 Pro",$459.99,4.5 out of 5 stars,379,Display Size|:|15.6|Disk Size|:|512 GB|RAM|:|8 GB|Operating System|:|Windows 11 Pro
67,"HP 17.3"" Flagship HD+ Business Laptop, 16GB DDR4 RAM, 1TB PCIe SSD, Intel Quad Core i3-1125G4(Beat i5-1035G4), Bluetooth, HDMI, Webcam, Windows 11, Silver, w/GM Accessories",$649.00,4.3 out of 5 stars,169,Display Size|:|17.3 inches|Disk Size|:|1 TB|RAM|:|16 GB|Operating System|:|Windows 11
68,"Lenovo 2023 Newest IdeaPad 3 14"" FHD Laptop, for Students and Business, Intel Core i3-1115G4(Up to 4.1GHz), 20GB DDR4 RAM, 1TB NVMe SSD, Webcam, HDMI, WiFi 6, Win 11 Home, W/GM Accessories",$399.00,4.1 out of 5 stars,88,Display Size|:|14 inches|Disk Size|:|1 TB|RAM|:|20 GB|Operating System|:|Windows 11 S
69,"HP Essential Laptop, 14"" HD Display, Intel Celeron N4120, 16GB DDR4 RAM, 64GB eMMC, Webcam, Type-C, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Blue, KKE Accessories",$279.99,,,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|16 GB|Operating System|:|Windows 11 Home
70,"HP 17.3"" HD Plus Touchscreen Laptop for Students, Quad Core AMD Ryzen 3 Processor, 8GB RAM, 512GB NVMe SSD, Fullsize Keyboard, HDMI, Rapid Charge, Type-C, Windows 11 with Bundled Accessories",$454.99,5.0 out of 5 stars,3,Display Size|:|17.3 inches|Disk Size|:|512 GB|RAM|:|8 GB|Operating System|:|Windows 11
71,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",$406.89,4.3 out of 5 stars,"3,370",Display Size|:|15.6 inches|Disk Size|:|256 GB|RAM|:|8 GB|Operating System|:|Windows 11
72,"HP 2022 Premium 14-inch HD Thin and Light Laptop, Intel Quad-Core Processor, 16GB RAM, 64GB Storage, Long Battery Life, Webcam, Bluetooth, HDMI, Wi-Fi, Rose Gold, Windows 11 + 1 Year Microsoft 365",$329.00,4.1 out of 5 stars,522,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|16.0 GB|Operating System|:|Windows 11
73,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0030nr, 2021, Pale Rose Gold)",$218.26,4.3 out of 5 stars,879,Display Size|:|14 inches|Disk Size|:|64 GB|RAM|:|4 GB|Operating System|:|Windows 11 S
74,"HP 2023 Newest Laptop, 15.6"" HD Touchscreen, AMD Ryzen 5 7530U (Beats i7-1165G7), 32GB RAM, 2TB PCIe SSD, Webcam, Backlit KB, HDMI, Type-C, Wi-Fi 6, Windows 11 Home, Silver, KKE Accessories",$709.00,5.0 out of 5 stars,3,Display Size|:|15.6 inches|Disk Size|:|2 TB|RAM|:|32 GB|Operating System|:|Windows 11 Home
